"x(1,:):x",1.9,1.8901,1.8771,1.8603,1.8385,1.8102,1.7734,1.7256,1.6636,1.5833,1.4855,1.3887,1.2935,1.2005,1.1107,1.025,0.9536,0.9443,0.869,0.799,0.7339,0.6727,0.6143,0.5576,0.5009,0.4422,0.4234,0.3789,0.3087,0.238,0.1836,0.1468,0.1216,0.1036,0.0902,0.0798,0.0716,0.0648,0.0593,0.0546,0.0506,0.0471,0.0441,0.0415,0.0391,0.037,0.0351,0.0334,0.0319,0.0305,0.0292,0.028,0.0269,0.0259,0.025,0.0241,0.0233,0.0225,0.0218,0.0211,0.0205,0.0199,0.0194,0.0188,0.0183,0.0179,0.0174,0.017,0.0166,0.0162,0.0158,0.0155,0.0151,0.0148,0.0145,0.0142,0.0139,0.0136,0.0134,0.0131,0.0129,0.0126,0.0124,0.0122,0.012,0.0118,0.0116,0.0114,0.0112,0.011,0.0108,0.0107,0.0105,0.0104,0.0102,0.0101,0.0099,0.0098,0.0096,0.0095,0.0094,0.0092,0.0091,0.009,0.0089,0.0088,0.0087,0.0086,0.0085,0.0083,0.0082,0.0082,0.0081,0.008,0.0079,0.0078,0.0077,0.0076,0.0075,0.0074,0.0074,0.0073,0.0072,0.0071,0.0071,0.007,0.0069,0.0069,0.0068,0.0067,0.0067,0.0066,0.0065,0.0065,0.0064,0.0064,0.0063,0.0062
"x(2,:):y",3.0426,3.0416,3.0402,3.0383,3.0358,3.0324,3.0276,3.021,3.0115,2.9974,2.9769,2.9519,2.9216,2.885,2.8412,2.7898,2.7384,2.731,2.6653,2.5941,2.5184,2.4396,2.3588,2.2769,2.1952,2.1155,2.0918,2.0409,1.9787,1.9405,1.9254,1.9203,1.9183,1.9175,1.9171,1.9169,1.9168,1.9167,1.9167,1.9167,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166,1.9166
"x(3,:):f",0.0577,0.0579,0.0583,0.0588,0.0594,0.0603,0.0615,0.063,0.0652,0.0682,0.0721,0.0765,0.0813,0.0865,0.0921,0.098,0.1034,0.1041,0.1104,0.1169,0.1235,0.1306,0.1382,0.147,0.1578,0.1722,0.1778,0.1939,0.2308,0.2935,0.3776,0.4708,0.5677,0.6661,0.7653,0.8647,0.9644,1.0642,1.164,1.2639,1.3638,1.4638,1.5637,1.6637,1.7637,1.8636,1.9636,2.0636,2.1636,2.2636,2.3636,2.4636,2.5636,2.6636,2.7636,2.8636,2.9635,3.0635,3.1635,3.2635,3.3635,3.4635,3.5635,3.6635,3.7635,3.8635,3.9635,4.0635,4.1635,4.2635,4.3635,4.4635,4.5635,4.6635,4.7635,4.8635,4.9635,5.0635,5.1635,5.2635,5.3635,5.4635,5.5635,5.6635,5.7635,5.8635,5.9635,6.0635,6.1635,6.2635,6.3635,6.4635,6.5635,6.6635,6.7635,6.8635,6.9635,7.0635,7.1635,7.2635,7.3635,7.4635,7.5635,7.6635,7.7635,7.8635,7.9635,8.0635,8.1635,8.2635,8.3635,8.4635,8.5635,8.6635,8.7635,8.8635,8.9635,9.0635,9.1635,9.2635,9.3635,9.4635,9.5635,9.6635,9.7635,9.8635,9.9635,10.0635,10.1635,10.2635,10.3635,10.4635,10.5635,10.6635,10.7635,10.8635,10.9635,11.0635
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"v(1,:)",-0.9941,-0.9939,-0.9936,-0.9932,-0.9927,-0.992,-0.9909,-0.9892,-0.9865,-0.9817,-0.9732,-0.9605,-0.9417,-0.9147,-0.8781,-0.8322,-0.786,-0.7796,-0.7251,-0.6738,-0.6298,-0.5956,-0.5731,-0.5643,-0.5726,-0.6038,-0.619,-0.6628,-0.7165,-0.6291,-0.4422,-0.2996,-0.2102,-0.154,-0.1172,-0.092,-0.074,-0.0608,-0.0509,-0.0432,-0.0371,-0.0322,-0.0282,-0.0249,-0.0222,-0.0199,-0.0179,-0.0162,-0.0147,-0.0135,-0.0123,-0.0114,-0.0105,-0.0097,-0.009,-0.0084,-0.0079,-0.0074,-0.0069,-0.0065,-0.0061,-0.0058,-0.0054,-0.0051,-0.0049,-0.0046,-0.0044,-0.0042,-0.004,-0.0038,-0.0036,-0.0035,-0.0033,-0.0032,-0.003,-0.0029,-0.0028,-0.0027,-0.0026,-0.0025,-0.0024,-0.0023,-0.0022,-0.0022,-0.0021,-0.002,-0.0019,-0.0019,-0.0018,-0.0018,-0.0017,-0.0017,-0.0016,-0.0016,-0.0015,-0.0015,-0.0014,-0.0014,-0.0013,-0.0013,-0.0013,-0.0012,-0.0012,-0.0012,-0.0011,-0.0011,-0.0011,-0.0011,-0.001,-0.001,-9.86E-04,-9.63E-04,-9.41E-04,-9.19E-04,-8.98E-04,-8.78E-04,-8.59E-04,-8.40E-04,-8.22E-04,-8.04E-04,-7.87E-04,-7.70E-04,-7.54E-04,-7.39E-04,-7.24E-04,-7.09E-04,-6.95E-04,-6.81E-04,-6.68E-04,-6.55E-04,-6.42E-04,-6.30E-04,-6.18E-04,-6.07E-04,-5.96E-04,-5.85E-04,-5.74E-04,-5.64E-04
"v(2,:)",-0.1052,-0.1069,-0.1093,-0.1125,-0.1168,-0.1228,-0.131,-0.1429,-0.1602,-0.1866,-0.226,-0.2745,-0.3328,-0.4005,-0.4749,-0.5513,-0.6151,-0.6232,-0.6857,-0.736,-0.7738,-0.8,-0.8154,-0.82,-0.8107,-0.7784,-0.7607,-0.6974,-0.5097,-0.2385,-0.0826,-0.0295,-0.012,-0.0055,-0.0028,-0.0015,-8.73E-04,-5.35E-04,-3.42E-04,-2.27E-04,-1.55E-04,-1.09E-04,-7.84E-05,-5.75E-05,-4.30E-05,-3.26E-05,-2.51E-05,-1.96E-05,-1.55E-05,-1.24E-05,-9.96E-06,-8.10E-06,-6.64E-06,-5.48E-06,-4.56E-06,-3.82E-06,-3.22E-06,-2.72E-06,-2.32E-06,-1.99E-06,-1.71E-06,-1.47E-06,-1.28E-06,-1.11E-06,-9.74E-07,-8.54E-07,-7.52E-07,-6.64E-07,-5.88E-07,-5.22E-07,-4.65E-07,-4.15E-07,-3.72E-07,-3.33E-07,-3.00E-07,-2.70E-07,-2.44E-07,-2.21E-07,-2.00E-07,-1.82E-07,-1.66E-07,-1.51E-07,-1.38E-07,-1.26E-07,-1.16E-07,-1.06E-07,-9.75E-08,-8.97E-08,-8.27E-08,-7.63E-08,-7.05E-08,-6.52E-08,-6.04E-08,-5.60E-08,-5.20E-08,-4.83E-08,-4.49E-08,-4.18E-08,-3.90E-08,-3.64E-08,-3.40E-08,-3.18E-08,-2.97E-08,-2.78E-08,-2.61E-08,-2.45E-08,-2.30E-08,-2.16E-08,-2.03E-08,-1.91E-08,-1.80E-08,-1.69E-08,-1.60E-08,-1.51E-08,-1.42E-08,-1.34E-08,-1.27E-08,-1.20E-08,-1.14E-08,-1.08E-08,-1.02E-08,-9.69E-09,-9.19E-09,-8.73E-09,-8.29E-09,-7.88E-09,-7.49E-09,-7.13E-09,-6.78E-09,-6.46E-09,-6.15E-09,-5.86E-09,-5.59E-09,-5.33E-09,-5.09E-09,-4.86E-09,-4.64E-09,-4.44E-09
"v(3,:)",0.0282,0.0284,0.0288,0.0292,0.0298,0.0306,0.0317,0.0331,0.0352,0.038,0.0418,0.0458,0.0499,0.0539,0.0574,0.0602,0.062,0.0622,0.0637,0.0654,0.0681,0.0728,0.0812,0.0959,0.1221,0.1718,0.1953,0.2728,0.4762,0.7398,0.8931,0.9536,0.9776,0.9881,0.9931,0.9958,0.9973,0.9981,0.9987,0.9991,0.9993,0.9995,0.9996,0.9997,0.9998,0.9998,0.9998,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"h(1,:): stepsize",0,0.01,0.013,0.0169,0.022,0.0286,0.0371,0.0483,0.0627,0.0816,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"h(2,:): correction",0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"h(3,:):  BP",0.0682,0.0678,0.0674,0.0668,0.0661,0.0651,0.0638,0.0622,0.0601,0.0575,0.0544,0.0515,0.0489,0.0467,0.045,0.0438,0.0431,0.043,0.0425,0.042,0.0411,0.0398,0.0376,0.0345,0.0304,0.0254,0.0236,0.0197,0.0147,0.0129,0.0141,0.0167,0.0197,0.0229,0.0262,0.0295,0.0329,0.0363,0.0396,0.043,0.0464,0.0498,0.0532,0.0566,0.06,0.0634,0.0668,0.0702,0.0736,0.077,0.0804,0.0838,0.0872,0.0906,0.094,0.0974,0.1008,0.1042,0.1076,0.111,0.1144,0.1178,0.1212,0.1246,0.128,0.1314,0.1348,0.1382,0.1416,0.145,0.1484,0.1518,0.1552,0.1586,0.162,0.1654,0.1688,0.1722,0.1756,0.179,0.1824,0.1858,0.1892,0.1926,0.196,0.1994,0.2028,0.2062,0.2096,0.213,0.2164,0.2198,0.2232,0.2266,0.23,0.2334,0.2368,0.2403,0.2437,0.2471,0.2505,0.2539,0.2573,0.2607,0.2641,0.2675,0.2709,0.2743,0.2777,0.2811,0.2845,0.2879,0.2913,0.2947,0.2981,0.3015,0.3049,0.3083,0.3117,0.3151,0.3185,0.3219,0.3253,0.3287,0.3321,0.3355,0.3389,0.3423,0.3457,0.3491,0.3525,0.3559,0.3593,0.3627,0.3661,0.3695,0.3729,0.3763
"h(4,:):  H",0.0745,0.0744,0.0743,0.0743,0.0741,0.0739,0.0735,0.0729,0.0719,0.0699,0.0664,0.0612,0.054,0.0442,0.0315,0.0158,-6.04E-06,-0.0023,-0.0217,-0.041,-0.058,-0.0707,-0.0764,-0.0721,-0.0538,-0.0164,-2.29E-07,0.0472,0.1432,0.263,0.3798,0.4881,0.5921,0.6941,0.7953,0.896,0.9964,1.0967,1.1969,1.297,1.3971,1.4972,1.5973,1.6973,1.7973,1.8974,1.9974,2.0974,2.1974,2.2974,2.3975,2.4975,2.5975,2.6975,2.7975,2.8975,2.9975,3.0975,3.1975,3.2975,3.3975,3.4975,3.5975,3.6975,3.7975,3.8975,3.9975,4.0975,4.1975,4.2975,4.3975,4.4975,4.5975,4.6975,4.7975,4.8975,4.9975,5.0975,5.1975,5.2975,5.3975,5.4975,5.5975,5.6975,5.7975,5.8975,5.9975,6.0975,6.1975,6.2975,6.3975,6.4975,6.5975,6.6975,6.7975,6.8975,6.9975,7.0975,7.1975,7.2975,7.3975,7.4975,7.5975,7.6975,7.7975,7.8975,7.9975,8.0975,8.1975,8.2975,8.3975,8.4975,8.5975,8.6975,8.7975,8.8975,8.9975,9.0975,9.1975,9.2975,9.3975,9.4975,9.5975,9.6975,9.7975,9.8975,9.9975,10.0975,10.1975,10.2975,10.3975,10.4975,10.5975,10.6975,10.7975,10.8975,10.9975,11.0975
"h(5,:): LP",0.0282,0.0284,0.0288,0.0292,0.0298,0.0306,0.0317,0.0331,0.0352,0.038,0.0418,0.0458,0.0499,0.0539,0.0574,0.0602,0.062,0.0622,0.0637,0.0654,0.0681,0.0728,0.0812,0.0959,0.1221,0.1718,0.1953,0.2728,0.4762,0.7398,0.8931,0.9536,0.9776,0.9881,0.9931,0.9958,0.9973,0.9981,0.9987,0.9991,0.9993,0.9995,0.9996,0.9997,0.9998,0.9998,0.9998,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f(1,:): eig",-0.0372 + 0.0231i,-0.0372 + 0.0233i,-0.0372 + 0.0236i,-0.0371 + 0.0239i,-0.0371 + 0.0244i,-0.0370 + 0.0250i,-0.0368 + 0.0259i,-0.0365 + 0.0271i,-0.0359 + 0.0287i,-0.0350 + 0.0310i,-0.0332 + 0.0342i,-0.0306 + 0.0377i,-0.0270 + 0.0414i,-0.0221 + 0.0451i,-0.0157 + 0.0483i,-0.0079 + 0.0507i,0.0000 + 0.0517i,0.0011 + 0.0517i,0.0109 + 0.0509i,0.0205 + 0.0482i,0.0290 + 0.0443i,0.0353 + 0.0406i,0.0382 + 0.0400i,0.0360 + 0.0449i,0.0269 + 0.0547i,0.0082 + 0.0655i,0.0000 + 0.0680i,-0.0236 + 0.0694i,-0.0716 + 0.0435i,-0.0435,-0.0368,-0.0351,-0.0345,-0.0343,-0.0342,-0.0341,-0.0341,-0.0341,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034,-0.034
"f(2,:) eig",-0.0372 - 0.0231i,-0.0372 - 0.0233i,-0.0372 - 0.0236i,-0.0371 - 0.0239i,-0.0371 - 0.0244i,-0.0370 - 0.0250i,-0.0368 - 0.0259i,-0.0365 - 0.0271i,-0.0359 - 0.0287i,-0.0350 - 0.0310i,-0.0332 - 0.0342i,-0.0306 - 0.0377i,-0.0270 - 0.0414i,-0.0221 - 0.0451i,-0.0157 - 0.0483i,-0.0079 - 0.0507i,0.0000 - 0.0517i,0.0011 - 0.0517i,0.0109 - 0.0509i,0.0205 - 0.0482i,0.0290 - 0.0443i,0.0353 - 0.0406i,0.0382 - 0.0400i,0.0360 - 0.0449i,0.0269 - 0.0547i,0.0082 - 0.0655i,0.0000 - 0.0680i,-0.0236 - 0.0694i,-0.0716 - 0.0435i,-0.2195,-0.343,-0.453,-0.5576,-0.6599,-0.7611,-0.8619,-0.9623,-1.0626,-1.1628,-1.263,-1.3631,-1.4632,-1.5632,-1.6633,-1.7633,-1.8634,-1.9634,-2.0634,-2.1634,-2.2634,-2.3634,-2.4634,-2.5635,-2.6635,-2.7635,-2.8635,-2.9635,-3.0635,-3.1635,-3.2635,-3.3635,-3.4635,-3.5635,-3.6635,-3.7635,-3.8635,-3.9635,-4.0635,-4.1635,-4.2635,-4.3635,-4.4635,-4.5635,-4.6635,-4.7635,-4.8635,-4.9635,-5.0635,-5.1635,-5.2635,-5.3635,-5.4635,-5.5635,-5.6635,-5.7635,-5.8635,-5.9635,-6.0635,-6.1635,-6.2635,-6.3635,-6.4635,-6.5635,-6.6635,-6.7635,-6.8635,-6.9635,-7.0635,-7.1635,-7.2635,-7.3635,-7.4635,-7.5635,-7.6635,-7.7635,-7.8635,-7.9635,-8.0635,-8.1635,-8.2635,-8.3635,-8.4635,-8.5635,-8.6635,-8.7635,-8.8635,-8.9635,-9.0635,-9.1635,-9.2635,-9.3635,-9.4635,-9.5635,-9.6635,-9.7635,-9.8635,-9.9635,-10.0635,-10.1635,-10.2635,-10.3635,-10.4635,-10.5635,-10.6635,-10.7635,-10.8635,-10.9635,-11.0635
